"Accepted Symbol","Synonym Symbol","Scientific Name"
"ABBA","","Abies balsamea"
"ABCO","","Abies concolor"
"ACVI","","Acalypha virginica"
"ACNI5","","Acer nigrum"
"ACPE","","Acer pensylvanicum"
"ACSP2","","Acer spicatum"
"ACMIB","","Achillea millefolium var. borealis"
"ACAM","","Acorus americanus"
"ACPA","","Actaea pachypoda"
"ACRAR","","Actaea racemosa var. racemosa"
"ACRAR","CIRA","Cimicifuga racemosa"
"ACRU2","","Actaea rubra"
"ACRUR2","","Actaea rubra ssp. rubra"
"ACRUR2","ACSPR3","Actaea spicata ssp. rubra"
"ADPE","","Adiantum pedatum"
"ADFU","","Adlumia fungosa"
"AGAC","","Agalinis acuta"
"AGMA3","","Agalinis maritima"
"AGPA12","","Agalinis paupercula"
"AGTE3","","Agalinis tenuifolia"
"AGNE2","","Agastache nepetoides"
"AGSC","","Agastache scrophulariifolia"
"AGAR4","","Ageratina aromatica"
"AGARA","","Ageratina aromatica var. aromatica"
"AGARA","EUAR7","Eupatorium aromaticum"
"AGGR2","","Agrimonia gryposepala"
"AGPA6","","Agrimonia parviflora"
"AGPU","","Agrimonia pubescens"
"AGRO3","","Agrimonia rostellata"
"AGST","","Agrimonia striata"
"AGEL4","","Agrostis elliottiana"
"AGPE","","Agrostis perennans"
"AGPE","AGAL8","Agrostis altissima"
"ALFA2","","Aletris farinosa"
"ALTR7","","Alisma triviale"
"ALTR7","ALPLA","Alisma plantago-aquatica var. americanum"
"ALCA3","","Allium canadense"
"ALSC","","Allium schoenoprasum"
"ALSCS","","Allium schoenoprasum var. sibiricum"
"ALTR3","","Allium tricoccum"
"ALINR","","Alnus incana ssp. rugosa"
"ALVIC","","Alnus viridis ssp. crispa"
"ALAE","","Alopecurus aequalis"
"AMCA2","","Amaranthus cannabinus"
"AMPU2","","Amaranthus pumilus"
"AMAR2","","Ambrosia artemisiifolia"
"AMARE","","Ambrosia artemisiifolia var. elatior"
"AMARE","AMEL2","Ambrosia elatior"
"AMTR","","Ambrosia trifida"
"AMBA","","Amelanchier bartramiana"
"AMNA2","","Amelanchier nantucketensis"
"AMOB2","","Amelanchier obovalis"
"AMSA","","Amelanchier sanguinea"
"AMST80","","Amelanchier stolonifera"
"AMBR","","Ammophila breviligulata"
"AMCH6","","Ammophila champlainensis"
"AMFR","","Amorpha fruticosa"
"AMBRC","","Amphicarpaea bracteata var. comosa"
"AMPU6","","Amphicarpum purshii"
"AMPU6","AMAM","Amphicarpum amphicarpon"
"ANPO","","Andromeda polifolia"
"ANPOG","","Andromeda polifolia var. glaucophylla"
"ANPOG","ANGL","Andromeda glaucophylla"
"ANGLG2","","Andropogon glomeratus var. glomeratus"
"ANGLG2","ANVIA","Andropogon virginicus var. abbreviatus"
"ANVI2","","Andropogon virginicus"
"ANOC2","","Androsace occidentalis"
"ANCA8","","Anemone canadensis"
"ANCY","","Anemone cylindrica"
"ANVI3","","Anemone virginiana"
"ANAT","","Angelica atropurpurea"
"ANLU","","Angelica lucida"
"ANVE","","Angelica venenosa"
"ANCR2","","Anoda cristata"
"ANHOC","","Antennaria howellii ssp. canadensis"
"ANHOC","ANCA38","Antennaria canadensis"
"ANHOP","","Antennaria howellii ssp. petaloidea"
"ANHOP","ANNEP3","Antennaria neglecta var. petaloidea"
"APHY","","Aplectrum hyemale"
"APCA","","Apocynum cannabinum"
"APCA","APSI","Apocynum sibiricum"
"AQCA","","Aquilegia canadensis"
"ARCA","","Arabis canadensis"
"ARDR","","Arabis drummondii"
"ARGL","","Arabis glabra"
"ARHI","","Arabis hirsuta"
"ARHIP","","Arabis hirsuta var. pycnocarpa"
"ARHIP","ARHIA","Arabis hirsuta var. adpressipilis"
"ARLA","","Arabis laevigata"
"ARLY2","","Arabis lyrata"
"ARLY2","ARLY5","Arabidopsis lyrata"
"ARMI5","","Arabis missouriensis"
"ARMI5","ARMID","Arabis missouriensis var. deamii"
"ARHI2","","Aralia hispida"
"ARRA","","Aralia racemosa"
"ARPU3","","Arceuthobium pusillum"
